Configuration,SNR_dB,Mean_Acc,Std_Acc
IQ only,-20,19.5362,1.3923
IQ only,-18,20.5867,0.5387
IQ only,-16,21.1878,0.4672
IQ only,-14,22.2857,0.6166
IQ only,-12,23.2129,0.6805
IQ only,-10,26.9589,0.9969
IQ only,-8,28.9896,1.1245
IQ only,-6,32.8551,1.3242
IQ only,-4,38.5573,0.6363
IQ only,-2,43.2168,0.8576
IQ only,0,50.9910,1.5215
IQ only,2,57.7267,1.7821
IQ only,4,66.6057,1.0715
IQ only,6,77.0518,1.0802
IQ only,8,83.0155,0.9127
IQ only,10,81.7871,0.5360
IQ only,12,84.6032,0.4992
IQ only,14,84.3984,0.8247
IQ only,16,84.0053,1.3119
IQ only,18,87.1545,1.5554
IQ only,20,86.1180,1.6538
Const only,-20,20.7094,0.8559
Const only,-18,19.4643,1.2197
Const only,-16,20.3315,0.3076
Const only,-14,20.5466,0.3002
Const only,-12,19.3574,0.3651
Const only,-10,19.5890,0.4418
Const only,-8,21.5803,0.9505
Const only,-6,24.1350,0.7579
Const only,-4,28.0622,1.4524
Const only,-2,36.8112,1.4081
Const only,0,44.1184,0.8931
Const only,2,46.7930,0.6706
Const only,4,54.5170,1.0753
Const only,6,70.6773,0.4631
Const only,8,76.9330,1.3951
Const only,10,82.2076,0.8252
Const only,12,92.5661,0.9626
Const only,14,98.6546,0.6473
Const only,16,99.5225,0.2857
Const only,18,99.9187,0.0664
Const only,20,99.9726,0.0549
Spec only,-20,20.0000,1.1659
Spec only,-18,21.4541,1.3818
Spec only,-16,19.3370,0.4704
Spec only,-14,21.8137,1.1016
Spec only,-12,20.7229,0.8182
Spec only,-10,20.8767,1.3355
Spec only,-8,19.0155,0.4517
Spec only,-6,20.0000,0.9556
Spec only,-4,20.9335,0.9035
Spec only,-2,21.7063,1.9628
Spec only,0,22.3681,0.6378
Spec only,2,23.1123,1.4709
Spec only,4,23.0287,1.0463
Spec only,6,24.1700,1.7110
Spec only,8,26.7010,0.5307
Spec only,10,29.6715,0.4945
Spec only,12,29.9471,1.0733
Spec only,14,31.3066,0.6494
Spec only,16,28.7533,0.8063
Spec only,18,33.6314,0.9861
Spec only,20,32.5377,0.8779
IQ + Const,-20,19.9454,0.6761
IQ + Const,-18,19.6173,0.6911
IQ + Const,-16,19.6685,1.4633
IQ + Const,-14,21.1180,0.7243
IQ + Const,-12,24.1499,1.2885
IQ + Const,-10,27.4795,1.0702
IQ + Const,-8,28.7565,0.4561
IQ + Const,-6,34.3179,1.2952
IQ + Const,-4,38.8402,0.5108
IQ + Const,-2,41.5385,0.8622
IQ + Const,0,46.1004,0.6430
IQ + Const,2,52.7199,2.3085
IQ + Const,4,64.1514,1.1488
IQ + Const,6,75.2457,1.8006
IQ + Const,8,79.3299,1.4107
IQ + Const,10,84.2838,2.2433
IQ + Const,12,93.3069,1.8435
IQ + Const,14,98.2406,1.0687
IQ + Const,16,99.3634,0.6355
IQ + Const,18,99.7290,0.2267
IQ + Const,20,99.7257,0.0868
IQ + Spec,-20,19.3179,1.1002
IQ + Spec,-18,21.3010,1.0043
IQ + Spec,-16,21.6298,1.8190
IQ + Spec,-14,21.1429,1.5039
IQ + Spec,-12,23.8822,1.1378
IQ + Spec,-10,27.2055,0.8062
IQ + Spec,-8,28.1865,0.8379
IQ + Spec,-6,33.6990,1.2970
IQ + Spec,-4,38.6987,0.9450
IQ + Spec,-2,44.1119,0.6655
IQ + Spec,0,50.2445,1.7881
IQ + Spec,2,56.9147,2.7924
IQ + Spec,4,66.0574,1.7240
IQ + Spec,6,76.3081,2.1767
IQ + Spec,8,82.6546,0.9526
IQ + Spec,10,80.5782,0.3661
IQ + Spec,12,84.4974,0.5251
IQ + Spec,14,84.6831,1.0529
IQ + Spec,16,84.2706,1.8427
IQ + Spec,18,86.4770,2.2139
IQ + Spec,20,87.8464,1.3761
Const + Spec,-20,20.2729,0.8392
Const + Spec,-18,21.2755,0.7754
Const + Spec,-16,20.2486,0.6572
Const + Spec,-14,20.5466,0.6116
Const + Spec,-12,19.9732,0.7778
Const + Spec,-10,19.9726,1.1669
Const + Spec,-8,20.9845,1.0459
Const + Spec,-6,23.9381,1.7212
Const + Spec,-4,27.4682,1.1814
Const + Spec,-2,35.3287,0.4562
Const + Spec,0,43.3977,0.8237
Const + Spec,2,46.7930,0.9545
Const + Spec,4,54.7781,1.1459
Const + Spec,6,69.0571,1.0690
Const + Spec,8,77.7320,0.7170
Const + Spec,10,81.7871,1.2702
Const + Spec,12,92.3810,0.9990
Const + Spec,14,97.8525,1.0561
Const + Spec,16,99.0186,1.0429
Const + Spec,18,99.8374,0.1328
Const + Spec,20,99.6982,0.2016
Full Fusion,-20,19.6999,1.2931
Full Fusion,-18,19.8724,1.2586
Full Fusion,-16,21.6851,0.5593
Full Fusion,-14,21.0186,0.6156
Full Fusion,-12,22.1954,1.4820
Full Fusion,-10,25.8630,0.8237
Full Fusion,-8,28.2124,2.3862
Full Fusion,-6,33.2771,1.7580
Full Fusion,-4,38.9250,0.7768
Full Fusion,-2,41.9301,1.2615
Full Fusion,0,45.5341,1.3185
Full Fusion,2,51.5020,1.2940
Full Fusion,4,62.2454,1.6767
Full Fusion,6,74.0239,1.5341
Full Fusion,8,79.1495,1.0639
Full Fusion,10,83.1275,0.9890
Full Fusion,12,92.2487,0.5524
Full Fusion,14,98.2924,0.6515
Full Fusion,16,99.3369,0.4023
Full Fusion,18,99.8374,0.1014
Full Fusion,20,99.7805,0.1399
